Reference Number,Easting,Northing,Number of Vehicles,Number of Casualties,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
1112091,429175,431904,2,1,01/01/2014,1840,6,2,4,2,1,3,1,58,9
1180869,430429,431025,3,2,08/01/2014,1430,1,2,1,1,1,3,1,69,9
1180869,430429,431025,3,2,08/01/2014,1430,1,2,1,1,1,3,2,41,9
11A0238,424660,427582,3,2,10/01/2014,817,1,1,1,1,1,3,1,35,9
11A0238,424660,427582,3,2,10/01/2014,817,1,1,1,1,1,3,1,25,9
11A0628,432917,425961,2,1,10/01/2014,1220,1,1,1,1,1,3,1,20,9
11S1208,432248,427099,3,1,28/01/2014,1828,1,2,4,2,1,3,1,38,9
1211556,426513,435659,1,1,01/08/2014,2000,6,1,1,1,3,3,1,23,9
1221002,424112,428080,1,1,02/02/2014,1531,1,2,1,1,1,3,1,28,9
1270266,430391,430939,4,2,07/02/2014,824,1,1,1,1,1,3,2,23,9
1270266,430391,430939,4,2,07/02/2014,824,1,1,1,1,1,3,1,53,9
12F1262,433137,433635,2,1,25/02/2014,1800,6,2,4,2,1,3,1,34,1
12H1186,426045,427745,1,1,17/02/2014,1728,6,2,4,2,3,3,1,17,9
12H1210,429147,431787,2,1,17/02/2014,1735,6,1,1,1,2,3,1,3,11
12H1381,425059,433376,2,1,17/02/2014,1905,4,2,4,2,2,3,2,56,9
12I0039,430708,439230,1,1,18/02/2014,46,3,1,4,1,1,3,1,26,9
12I0740,432436,434843,2,1,18/02/2014,1320,6,1,1,1,1,3,1,33,1
12I0834,430306,434778,1,1,18/02/2014,1422,6,2,1,1,1,3,1,38,9
12I1006,431896,434915,2,3,18/02/2014,1545,6,1,1,1,2,3,1,19,9
12I1006,431896,434915,2,3,18/02/2014,1545,6,1,1,1,1,3,1,56,9
12I1006,431896,434915,2,3,18/02/2014,1545,6,1,1,1,2,3,1,41,9
12I1203,428282,433512,2,1,18/02/2014,1720,6,1,1,1,1,3,1,42,1
12I1281,425763,435423,1,1,18/02/2014,1802,6,1,4,1,3,3,2,23,9
12I1450,429387,434948,2,1,18/02/2014,1944,3,1,4,1,1,3,1,25,1
12I1578,424145,430427,2,1,18/02/2014,2052,3,1,4,1,1,3,1,21,3
12I1769,428836,440130,2,1,18/02/2014,2318,6,1,4,1,1,3,1,16,3
12J0189,426677,431760,2,1,19/02/2014,655,3,1,4,1,1,3,1,23,1
12J0433,429092,429970,2,1,19/02/2014,1028,3,1,1,1,1,3,1,38,4
12J0994,429475,439388,2,1,19/02/2014,1550,6,1,1,1,3,3,2,11,9
12J1142,426308,437694,1,1,19/02/2014,1639,6,1,1,1,3,3,2,68,9
12J1435,430951,435935,2,1,19/02/2014,1430,6,1,1,1,1,3,1,46,9
12J1654,431884,435515,2,4,19/02/2014,2040,6,1,4,1,1,3,1,25,9
12J1654,431884,435515,2,4,19/02/2014,2040,6,1,4,1,1,3,2,23,9
12J1654,431884,435515,2,4,19/02/2014,2040,6,1,4,1,2,3,1,23,9
12J1654,431884,435515,2,4,19/02/2014,2040,6,1,4,1,2,3,2,22,9
12K0297,422145,428046,2,1,19/02/2014,1725,3,2,4,1,2,3,2,28,9
12K0444,421474,445803,2,1,20/02/2014,1053,3,1,1,1,1,3,2,84,9
12K0450,437041,438282,2,1,20/02/2014,1055,6,1,1,1,1,3,1,55,9
12K0781,428776,433265,2,2,20/02/2014,1355,3,1,1,1,1,3,1,36,8
12K0781,428776,433265,2,2,20/02/2014,1355,3,1,1,1,2,3,1,21,8
12K0913,430683,432507,2,1,20/02/2014,1500,6,2,1,1,2,3,2,52,9
12K1147,431889,434978,2,1,20/02/2014,1645,6,2,1,1,1,3,1,21,9
12K1171,431384,430549,5,4,20/02/2014,1655,1,2,1,1,1,3,1,48,9
12K1171,431384,430549,5,4,20/02/2014,1655,1,2,1,1,1,3,1,63,9
12K1171,431384,430549,5,4,20/02/2014,1655,1,2,1,1,2,3,2,60,9
